Row	Side	Bagfile	Start time	End time	comments
1	n	r1n_2015-03-12-23-30-17.bag	0	0	juicy women
2	n	r2n_2015-03-12-23-34-31.bag	0	0	juicy women
3	n	r3n_2015-03-12-23-41-12.bag	0	0	juicy women
4	n	r4n_2015-03-12-23-48-09.bag	0	0	juicy women
5	n	r5n_2015-03-12-23-57-35.bag	0	0	juicy women
6	n	r6n_2015-03-13-00-06-28.bag	0	0	juicy women
7	n	r7n_2015-03-13-00-11-47.bag	0	0	juicy women
8	n	r8n_2015-03-13-00-16-49.bag	0	0	juicy women
9	n	r9n_2015-03-13-00-21-03.bag	0	0	juicy women
10	n	r10n_2015-03-13-00-25-40.bag	0	0	juicy women
11	n	r11n_2015-03-13-00-32-03.bag	0	0	juicy women
12	n	r12n_2015-03-13-00-38-58.bag	0	0	juicy women
13	n	r13n_2015-03-13-00-43-37.bag	0	0	juicy women
14	n	r14n_	0	0	juicy women
15	n	r15n_	0	0	juicy women
16	n	r16n_	0	0	juicy women
17	n	r17n_	0	0	juicy women
18	n	r18n_	0	0	juicy women
19	n	r19n_	0	0	juicy women
20	n	r20n_	0	0	juicy women
21	n	r21n_	0	0	juicy women
22	n	r22n_	0	0	juicy women
23	n	r23n_	0	0	juicy women
24	n	r24n_	0	0	derp
25	n	r25n_	0	0	foo
26	n	r26n_	0	0	bar