Row	Side	Bagfile	start time	end time	comments
26	N	t26n_steadicam_v5_2015-02-19-19-36-19.bag	0.55	5.1	good
25	N	t25n_steadicam_v5_2015-02-19-13-30-43.bag	2.9	7.8	sunglare
24	N	t24n_steadicam_v5_2015-02-19-19-37-51.bag	1	5.5	good 
23	N	t23n_steadicam_v5_2015-02-19-19-34-22.bag	1.15	6.2	good 
22	N	t22n_steadicam_v5_2015-02-19-19-39-01.bag	0.55	4.1	good expposure, a bit close to canopy
21	N	t21n_steadicam_v5_2015-02-19-13-27-20.bag	3.2	8	some sun glare
20	N	t20n_steadicam_v5_2015-02-19-19-39-59.bag	0.8	3.6	good
19	N	t19n_steadicam_v5_2015-02-19-19-32-39.bag	1.39	6.1	good
18	N	t18n_steadicam_v5_2015-02-19-19-41-56.bag	0.89	5.1	good
17	N	t17n_steadicam_v5_2015-02-19-13-22-59.bag	1.75	6.2	shadow
16	N	t16n_steadicam_v5_2015-02-19-19-43-04.bag	1	4.4	good
15	N	t15n_steadicam_v5_2015-02-19-19-31-22.bag	1.2	4.8	good, motion a bit fast
14	N	t14n_steadicam_v5_2015-02-19-19-43-54.bag  	1.7	5.2	good, canopy too close. vertically, not all fruits visible 
13	N	t13n_steadicam_v5_2015-02-19-13-20-08.bag  	2.17	7.6	moderate sunglare
12	N	t12n_steadicam_v5_2015-02-19-19-44-50.bag 	1	3.5	good
11	N	t11n_steadicam_v5_2015-02-19-19-29-55.bag	1.1	4.3	good
10	N	t10n_steadicam_v5_2015-02-19-19-45-36.bag   	1.94	5	good
9	N	t9n_steadicam_v5_2015-02-19-13-16-27.bag 	3.06	7.5	some sunglare
8	N	t8n_steadicam_v5_2015-02-19-19-46-39.bag 	1.3	4.1	good
7	N	t7n_steadicam_v5_2015-02-19-19-27-53.bag 	1.94	5.8	good
6	N	t6n_steadicam_v5_2015-02-19-19-47-39.bag	0.83	5	good
5	N	t5n_steadicam_v5_2015-02-19-13-11-57.bag	2.86	7.8	sunglare
4	N	t4n_steadicam_v5_2015-02-19-19-48-33.bag  	1.3	4.6	good
3	N	t3n_steadicam_v5_2015-02-19-19-25-50.bag 	1.5	5.4	good
2	N	t2n_steadicam_v5_2015-02-19-19-49-35.bag 	1.5	5.1	good
1	N	t1n_steadicam_v5_2015-02-19-12-57-15.bag	5.09	10.5	some sun glare